Name
English 9
English 10
English 11
English 11: Advanced Placement (AP) English Language and Composition
Advanced Placement (AP) English - Literature and Composition
English 12: Modern Drama Literature
English 12: More of Shakespeare
English 12: Contemporary Fiction
English 12: Humanities and the Arts – Concurrent Enrollment Elective
Public Speaking
Creative Writing A and B
Journalism I
Advanced Journalism II
Advanced Journalism III
Honors Journalism IV
Writers’ Workshop A and B
The Graphic Novel
Literature and Social Justice
English as Second Language Program
