Name
Biology
Advanced Biology
Advanced Placement (AP) Biology 
Chemistry
Honors Chemistry – Concurrent Enrollment Elective
Advanced Placement (AP Chemistry)
Physics
Advanced Placement (AP) Physics 1
Advanced Placement (AP) Physics 2
Advanced Placement (AP) Physics C
Environmental Science
Advanced Placement (AP) Environmental Science
Forensic Science – Concurrent Enrollment Elective
Introduction to Anatomy and Physiology
Dynamics of Health Care in Society – Concurrent Enrollment Elective
